iShares S&P 100 ETF,,,,,,,,,,,
Inception Date,"Oct 23, 2000",,,,,,,,,,
Fund Holdings as of,"Nov 30, 2017",,,,,,,,,,
Total Net Assets,"4,948,499,210.31",,,,,,,,,,
Shares Outstanding,"42,150,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,6.19,171.85,"1,781,428.00","306,138,401.80","306,138,401.80",Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,4.52,84.17,"2,656,417.00","223,590,618.89","223,590,618.89",Information Technology,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,3.27,"1,176.75","137,512.00","161,817,246.00","161,817,246.00",Consumer Discretionary,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,2.93,177.18,"817,503.00","144,845,181.54","144,845,181.54",Information Technology,B7TL820,US30303M1027,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,2.61,139.33,"925,681.00","128,975,133.73","128,975,133.73",Health Care,2475833,US4781601046,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,2.59,193.01,"663,619.00","128,085,103.19","128,085,103.19",Financials,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,2.56,104.52,"1,213,653.00","126,851,011.56","126,851,011.56",Financials,2190385,US46625H1005,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,2.46,83.29,"1,461,388.00","121,719,006.52","121,719,006.52",Energy,2326618,US30231G1022,New York Stock Exchange Inc.
GOOGL,ALPHABET INC CLASS A,Equity,2.15,"1,036.17","102,793.00","106,511,022.81","106,511,022.81",Information Technology,BYVY8G0,US02079K3059,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,2.15,"1,021.41","104,106.00","106,334,909.46","106,334,909.46",Information Technology,BYY88Y7,US02079K1079,NASDAQ
BAC,BANK OF AMERICA CORP,Equity,1.93,28.17,"3,384,061.00","95,328,998.37","95,328,998.37",Financials,2295677,US0605051046,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.76,56.47,"1,540,809.00","87,009,484.23","87,009,484.23",Financials,2649100,US9497461015,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.6,89.99,"879,470.00","79,143,505.30","79,143,505.30",Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.57,118.99,"653,564.00","77,767,580.36","77,767,580.36",Energy,2838555,US1667641005,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.56,36.38,"2,117,617.00","77,038,906.46","77,038,906.46",Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,1.54,228.17,"333,461.00","76,085,796.37","76,085,796.37",Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.51,36.26,"2,058,245.00","74,631,963.70","74,631,963.70",Health Care,2684703,US7170811035,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,1.48,179.82,"406,560.00","73,107,619.20","73,107,619.20",Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,1.47,44.84,"1,620,630.00","72,669,049.20","72,669,049.20",Information Technology,2463247,US4581401001,NASDAQ
VZ,VERIZON COMMUNICATIONS INC,Equity,1.45,50.89,"1,406,929.00","71,598,616.81","71,598,616.81",Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,1.44,112.59,"630,927.00","71,036,070.93","71,036,070.93",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,1.43,75.5,"939,671.00","70,945,160.50","70,945,160.50",Financials,2297907,US1729674242,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,1.3,37.3,"1,724,465.00","64,322,544.50","64,322,544.50",Information Technology,2198163,US17275R1023,NASDAQ
CMCSA,COMCAST A CORP,Equity,1.23,37.54,"1,622,330.00","60,902,268.20","60,902,268.20",Consumer Discretionary,2044545,US20030N1019,NASDAQ
KO,COCA-COLA,Equity,1.22,45.77,"1,323,952.00","60,597,283.04","60,597,283.04",Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
DWDP,DOWDUPONT INC,Equity,1.17,71.96,"804,710.00","57,906,931.60","57,906,931.60",Materials,BYP66M4,US26078J1007,New York Stock Exchange Inc.
PEP,PEPSICO INC,Equity,1.16,116.52,"492,672.00","57,406,141.44","57,406,141.44",Consumer Staples,2681511,US7134481081,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,1.13,104.82,"532,327.00","55,798,516.14","55,798,516.14",Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
